,step,vertical_idx,horizontal_idx
0,9,2,4
1,13,4,1
2,17,0,3
3,18,1,2
4,18,0,1
5,21,2,3
6,28,4,4
7,29,4,3
8,30,4,0
9,32,1,4
10,32,3,4
11,34,2,1
12,39,3,2
13,42,0,0
14,46,0,4
15,48,1,4
16,59,1,2
17,62,3,3
18,68,2,1
19,70,0,0
20,76,0,1
21,78,3,2
22,85,2,1
23,88,1,0
24,88,2,3
25,91,4,2
26,106,0,2
27,106,2,3
28,110,3,2
29,119,2,1
30,132,4,1
31,135,1,1
32,135,4,3
33,137,1,1
34,138,1,3
35,138,1,4
36,147,3,0
37,150,3,1
38,152,0,3
39,154,4,1
40,156,1,4
41,160,2,2
42,171,3,4
43,174,4,2
44,184,1,1
45,186,2,2
46,187,0,4
